rating,display_name,brand_name,list_price
4.4425,LE TEINT TOUCHE ÉCLAT Illuminating Foundation SPF 19,Yves Saint Laurent,$57.00
3.7586,Visionnaire 1-Minute Blur,Lancôme,$55.00
3.9305,De-Slick Oil-Control Makeup Setting Spray,Urban Decay,$14.00 - $30.00
4.1489,Photo Finish Color Correcting Foundation Primer,Smashbox,$15.00 - $38.00
4.3759,Primed & Poreless Skin Smoothing Face Primer,Too Faced,$30.00
4.0871,Foundation Primer - Radiance,Laura Mercier,$19.50 - $33.00
4.4319,pores no more® pore refiner,Dr. Brandt Skincare,$45.00
4.3805,Foundation Primer - Hydrating,Laura Mercier,$33.00
3.7325,Dr. Feelgood,Benefit Cosmetics,$31.00
4.2771,Perfecting Ultra-Smoothing Primer,SEPHORA COLLECTION,$15.00
4.3562,Capture Totale Dream Skin,Dior,$110.00
4.5959,Ambient Lighting Palette,Hourglass,$58.00
4.3764,TOUCHE ÉCLAT - Radiant Touch,Yves Saint Laurent,$41.00
4.3139,Ambient Lighting Powder,Hourglass,$45.00
4.3688,The Multiple,NARS,$39.00
4.1597,Météorites Powder For The Face,Guerlain,$60.00
4.4529,Naked Flushed,Urban Decay,$30.00
4.5733,Shimmering Skin Perfector SPF 25+,BECCA,$41.00
4.479,High Beam,Benefit Cosmetics,$26.00
4.6667,Diorskin Nude Shimmer Instant Illuminating Powder,Dior,$56.00
4.5957,Shimmering Skin Perfector™ Pressed,BECCA,$38.00
4.4028,Watt's Up!,Benefit Cosmetics,$30.00
4.3182,Météorites Perles du Paradise,Guerlain,$70.00
4.2478,The POREfessional,Benefit Cosmetics,$31.00
4.3743,All Nighter Long-Lasting Makeup Setting Spray,Urban Decay,$14.00 - $30.00
4.2019,HD Pressed Powder,MAKE UP FOR EVER,$22.00 - $36.00
3.9305,De-Slick Oil-Control Makeup Setting Spray,Urban Decay,$14.00 - $30.00
3.4176,The POREfessional Agent Zero Shine,Benefit Cosmetics,$30.00
5,Smooth Operator™ Amazonian Clay Pressed Finishing Powder,Tarte,$34.00
3.6486,Ever-Matte Poreless Priming Perfector™,BECCA,$36.00
4.4396,Smooth Operator™ Amazonian Clay Finishing Powder,Tarte,$32.00
3.9451,Foundation Primer - Oil Free,Laura Mercier,$19.50 - $33.00
4.0703,Skin Perfection Gel,Perfekt,$48.00
4.7843,Pureness Oil-Control Blotting Paper,Shiseido,$18.50
4.3841,Blotting Papers,SEPHORA COLLECTION,$8.00 - $10.00
4.328,De-Slick Mattifying Powder,Urban Decay,$32.00
4.0125,Smooth Focus Pressed Setting Powder - Shine Control,Laura Mercier,$34.00
4.7231,BI-FACIL - Double-Action Eye Makeup Remover,Lancôme,$28.00 - $38.00
3.1818,Fresh Eyes Maracuja Waterproof Eye Makeup Remover Wipes,Tarte,$12.00
4.4747,Waterproof Eye Makeup Remover,SEPHORA COLLECTION,$7.00 - $14.00
4.6315,"Take The Day Off Makeup Remover For Lids, Lashes & Lips",CLINIQUE,$18.00
4.5335,Sens'Eyes - Waterproof Sensitive Eye Cleanser,MAKE UP FOR EVER,$10.00 - $24.00
4.3799,Express Cleansing Wipes,SEPHORA COLLECTION,$9.00
4.1296,Make-Up Remover Cleansing Water,Caudalie,$14.00 - $28.00
4.7021,Cleansing Spa Water Cloths,Koh Gen Do,$39.00
3.9333,Purity Made Simple One-Step Facial Cleansing Cloths,Philosophy,$15.00
4.5696,beautyblender®,beautyblender,$19.95 - $28.95
4.6503,beautyblender® Duo Set,beautyblender,$39.95
