rating,display_name,brand_name,list_price
4.3905,Diorskin Forever Flawless Perfection Wear Makeup,Dior,$49.00
4.5111,Duo Mat Powder Foundation,MAKE UP FOR EVER,$34.00
4.1975,Amazonian Clay 12-Hour Full Coverage Foundation SPF 15,Tarte,$38.00
4.3711,'Hello Flawless!' SPF 15,Benefit Cosmetics,$34.00
3.5034,READY® Foundation Broad Spectrum SPF 20,bareMinerals,$29.00
4.347,Color Control Cushion Compact Broad Spectrum SPF 50+,AmorePacific,$60.00
4.2308,Try. Believe. Love. Kit,bareMinerals,$20.00
4.3878,Teint Idole Ultra 24H,Lancôme,$45.50
4.3196,BB Tinted Treatment 12-Hour Primer Broad Spectrum SPF 30 Sunscreen,Tarte,$10.00 - $34.00
3.9146,Pro Finish Multi-Use Powder Foundation,MAKE UP FOR EVER,$36.00
4.508,DUAL FINISH - Versatile Powder Makeup,Lancôme,$38.50
4.4181,Illusion® Tinted Moisturizer Broad Spectrum SPF 15,Hourglass,$55.00
4.4861,Mineral Powder SPF 15,Laura Mercier,$38.00
4.3825,HALO Hydrating Perfecting Powder,Smashbox,$22.00 - $49.00
3.9594,Camera Ready CC Cream Broad Spectrum SPF 30 Dark Spot Correcting,Smashbox,$19.50 - $42.00
4.1667,Argan Matchmaker Complexion Kit,Josie Maran,$68.00
4.0247,Remedy Concealer Pen,Marc Jacobs Beauty,$39.00
4.4631,Skinflash Radiance Booster Pen,Dior,$37.00
4.1796,Smooth Operator™ Amazonian Clay Waterproof Concealer,Tarte,$22.00
3.8907,5 Camouflage Cream Palette,MAKE UP FOR EVER,$38.00
4.4733,ANTI-CERNES - Multi-Action Concealer,Yves Saint Laurent,$37.00
4.4467,MAQUICOMPLET - Complete Coverage Concealer,Lancôme,$30.50
4.0089,High Definition Concealer,Smashbox,$22.00
4.2972,Amazing Concealer To Go,Amazing Cosmetics,$28.00
4.2991,Hidden Corrective Concealer,Hourglass,$32.00
3.7,bareMinerals Heal & Conceal Acne Treatment & Concealer,bareMinerals,$25.00
4.1156,Camera Ready Full Coverage Concealer,Smashbox,$20.00
4.1292,Line Smoothing Concealer,CLINIQUE,$17.00
4.2099,"Airbrush Concealer Illuminates, Perfects",CLINIQUE,$19.50
4.1205,Stay All Day® Foundation & Concealer,Stila,$44.00
4.1853,Undercover Pot,Laura Mercier,$34.00
4,No Concealer Concealer,Perricone MD,$45.00
